idd,name,program,category,marks_count,results_count,dance_metrics_count,tournaments_count,trainer_summaries_count,trend_items_count,is_visible_chip,visibility_status,visibility_reason,visible_in_html
2023028,Аббясова Амина,standard,N,191,8,2,4,4,2,True,primary,primary: dance metrics available,True
2023028,Аббясова Амина,standard,N+E,41,0,0,2,2,0,True,primary,primary: marks-derived dance analysis available,True
2023028,Аббясова Амина,latin,N,106,4,2,4,4,2,True,primary,primary: dance metrics available,True
2023028,Аббясова Амина,latin,N+E,18,0,0,2,2,0,True,limited,"limited: 18 marks, marks-derived reference only",True
2010683,Агапитов Ярослав / Дмитриева Анна,standard,D+C,334,25,5,5,5,5,True,primary,primary: dance metrics available,True
2010683,Агапитов Ярослав / Дмитриева Анна,standard,C+B,55,5,5,1,1,5,True,primary,primary: dance metrics available,True
2010683,Агапитов Ярослав / Дмитриева Анна,latin,D+C,322,25,5,5,5,5,True,primary,primary: dance metrics available,True
2010683,Агапитов Ярослав / Дмитриева Анна,latin,C+B,55,5,5,1,1,5,True,primary,primary: dance metrics available,True
2010736,Антонова Александра,standard,E+D,321,20,4,6,6,4,True,primary,primary: dance metrics available,True
2010736,Антонова Александра,standard,D,23,0,0,1,1,0,True,primary,primary: marks-derived dance analysis available,True
2010736,Антонова Александра,latin,E+D,91,0,0,6,6,0,True,primary,primary: marks-derived dance analysis available,True
2010736,Антонова Александра,latin,D,4,0,0,1,1,0,True,limited,"limited: 4 marks, marks-derived reference only",True
2015745,Бедина Эльмира,standard,E+D,416,15,4,13,13,4,True,primary,primary: dance metrics available,True
2015745,Бедина Эльмира,latin,E+D,733,20,4,13,13,4,True,primary,primary: dance metrics available,True
2015747,Вегера Артем / Яхимович Любовь,standard,D+C,251,20,5,4,4,5,True,primary,primary: dance metrics available,True
2015747,Вегера Артем / Яхимович Любовь,standard,Open,5,0,0,1,1,0,True,limited,"limited: 5 marks, marks-derived reference only",True
2015747,Вегера Артем / Яхимович Любовь,latin,E+D,481,32,4,9,9,4,True,primary,primary: dance metrics available,True
2015747,Вегера Артем / Яхимович Любовь,latin,D+C,401,30,5,7,7,5,True,primary,primary: dance metrics available,True
2013211,Векслер Майя,standard,N+E,33,3,3,1,1,3,True,primary,primary: dance metrics available,True
2013211,Векслер Майя,standard,E+D,27,0,0,3,3,0,True,primary,primary: marks-derived dance analysis available,True
2013211,Векслер Майя,latin,E+D,64,0,0,3,3,0,True,primary,primary: marks-derived dance analysis available,True
2013211,Векслер Майя,latin,EADC,69,1,1,3,3,1,True,primary,primary: dance metrics available,True
2017576,Галактионова Анна,standard,D+C,277,20,5,4,4,5,True,primary,primary: dance metrics available,True
2017576,Галактионова Анна,standard,EADC,124,10,5,4,4,5,True,primary,primary: dance metrics available,True
2017576,Галактионова Анна,latin,D+C,280,20,5,4,4,5,True,primary,primary: dance metrics available,True
2017576,Галактионова Анна,latin,EADC,115,5,5,3,3,5,True,primary,primary: dance metrics available,True
2016461,Груздева Александра,standard,E+D,678,36,4,8,8,4,True,primary,primary: dance metrics available,True
2016461,Груздева Александра,standard,D,97,4,4,1,1,4,True,primary,primary: dance metrics available,True
2016461,Груздева Александра,standard,D+C,45,5,5,1,1,5,True,primary,primary: dance metrics available,True
2016461,Груздева Александра,standard,EADC,47,3,3,1,1,3,True,primary,primary: dance metrics available,True
