idd,section,desktop_position,mobile_position,viewport,data_hash,issue
2016461,Более строгие судьи,1,1,desktop,7a490bb3a3e5,
2016461,Более мягкие судьи,2,2,desktop,d61bf8d27c40,
2016461,"Турниры / program_summaries #1 (Стандарт, Латина)",3,3,desktop,9d81a8e5d45b,
2016461,"Турниры / program_summaries #2 (Стандарт, Латина)",4,4,desktop,9d21ed292b5a,
2016461,"Турниры / program_summaries #3 (Стандарт, Латина)",5,5,desktop,2fe06521ee06,
2016461,"Турниры / program_summaries #4 (Стандарт, Латина)",6,6,desktop,4e253709b0d9,
2016461,"Турниры / program_summaries #5 (Стандарт, Латина)",7,7,desktop,2cf9fd7e82d7,
2016461,"Турниры / program_summaries #6 (Стандарт, Латина)",8,8,desktop,3f3ee33c979f,
2016461,"Турниры / program_summaries #7 (Стандарт, Латина)",9,9,desktop,a913f07d3070,
2016461,"Турниры / program_summaries #8 (Стандарт, Латина)",10,10,desktop,49491f958e7d,
2016461,"Турниры / program_summaries #9 (Стандарт, Латина)",11,11,desktop,f3b367e20b67,
2016461,Более строгие судьи,1,1,390px,7a490bb3a3e5,
2016461,Более мягкие судьи,2,2,390px,d61bf8d27c40,
2016461,"Турниры / program_summaries #1 (Стандарт, Латина)",3,3,390px,9d81a8e5d45b,
2016461,"Турниры / program_summaries #2 (Стандарт, Латина)",4,4,390px,9d21ed292b5a,
2016461,"Турниры / program_summaries #3 (Стандарт, Латина)",5,5,390px,2fe06521ee06,
2016461,"Турниры / program_summaries #4 (Стандарт, Латина)",6,6,390px,4e253709b0d9,
2016461,"Турниры / program_summaries #5 (Стандарт, Латина)",7,7,390px,2cf9fd7e82d7,
2016461,"Турниры / program_summaries #6 (Стандарт, Латина)",8,8,390px,3f3ee33c979f,
2016461,"Турниры / program_summaries #7 (Стандарт, Латина)",9,9,390px,a913f07d3070,
2016461,"Турниры / program_summaries #8 (Стандарт, Латина)",10,10,390px,49491f958e7d,
2016461,"Турниры / program_summaries #9 (Стандарт, Латина)",11,11,390px,f3b367e20b67,
2016461,Более строгие судьи,1,1,430px,7a490bb3a3e5,
2016461,Более мягкие судьи,2,2,430px,d61bf8d27c40,
2016461,"Турниры / program_summaries #1 (Стандарт, Латина)",3,3,430px,9d81a8e5d45b,
2016461,"Турниры / program_summaries #2 (Стандарт, Латина)",4,4,430px,9d21ed292b5a,
2016461,"Турниры / program_summaries #3 (Стандарт, Латина)",5,5,430px,2fe06521ee06,
2016461,"Турниры / program_summaries #4 (Стандарт, Латина)",6,6,430px,4e253709b0d9,
2016461,"Турниры / program_summaries #5 (Стандарт, Латина)",7,7,430px,2cf9fd7e82d7,
2016461,"Турниры / program_summaries #6 (Стандарт, Латина)",8,8,430px,3f3ee33c979f,
2016461,"Турниры / program_summaries #7 (Стандарт, Латина)",9,9,430px,a913f07d3070,
2016461,"Турниры / program_summaries #8 (Стандарт, Латина)",10,10,430px,49491f958e7d,
2016461,"Турниры / program_summaries #9 (Стандарт, Латина)",11,11,430px,f3b367e20b67,
2016890,Более строгие судьи,1,1,desktop,ef63720f6e9e,
2016890,Более мягкие судьи,2,2,desktop,29d626cdcbbc,
2016890,"Турниры / program_summaries #1 (Стандарт, Латина)",3,3,desktop,8fe2937cedab,
2016890,"Турниры / program_summaries #2 (Стандарт, Латина)",4,4,desktop,856a248fe836,
2016890,"Турниры / program_summaries #3 (Стандарт, Латина)",5,5,desktop,f7893e76a216,
2016890,"Турниры / program_summaries #4 (Стандарт, Латина)",6,6,desktop,014aa36067b1,
2016890,"Турниры / program_summaries #5 (Стандарт, Латина)",7,7,desktop,4cdb86a2b21a,
2016890,"Турниры / program_summaries #6 (Стандарт, Латина)",8,8,desktop,4ab94372230b,
2016890,"Турниры / program_summaries #7 (Стандарт, Латина)",9,9,desktop,f5117c30d8a1,
2016890,"Турниры / program_summaries #8 (Стандарт, Латина)",10,10,desktop,d7219e9d7533,
2016890,"Турниры / program_summaries #9 (Стандарт, Латина)",11,11,desktop,f919ef982034,
2016890,"Турниры / program_summaries #10 (Стандарт, Латина)",12,12,desktop,f9dc9d15d783,
2016890,"Турниры / program_summaries #11 (Стандарт, Латина)",13,13,desktop,f4855d23939f,
2016890,"Турниры / program_summaries #12 (Стандарт, Латина)",14,14,desktop,f1eac4baaa36,
2016890,"Турниры / program_summaries #13 (Стандарт, Латина)",15,15,desktop,5aee58e2b3ce,
2016890,Более строгие судьи,1,1,390px,ef63720f6e9e,
2016890,Более мягкие судьи,2,2,390px,29d626cdcbbc,
2016890,"Турниры / program_summaries #1 (Стандарт, Латина)",3,3,390px,8fe2937cedab,
2016890,"Турниры / program_summaries #2 (Стандарт, Латина)",4,4,390px,856a248fe836,
2016890,"Турниры / program_summaries #3 (Стандарт, Латина)",5,5,390px,f7893e76a216,
2016890,"Турниры / program_summaries #4 (Стандарт, Латина)",6,6,390px,014aa36067b1,
2016890,"Турниры / program_summaries #5 (Стандарт, Латина)",7,7,390px,4cdb86a2b21a,
2016890,"Турниры / program_summaries #6 (Стандарт, Латина)",8,8,390px,4ab94372230b,
2016890,"Турниры / program_summaries #7 (Стандарт, Латина)",9,9,390px,f5117c30d8a1,
2016890,"Турниры / program_summaries #8 (Стандарт, Латина)",10,10,390px,d7219e9d7533,
2016890,"Турниры / program_summaries #9 (Стандарт, Латина)",11,11,390px,f919ef982034,
2016890,"Турниры / program_summaries #10 (Стандарт, Латина)",12,12,390px,f9dc9d15d783,
2016890,"Турниры / program_summaries #11 (Стандарт, Латина)",13,13,390px,f4855d23939f,
2016890,"Турниры / program_summaries #12 (Стандарт, Латина)",14,14,390px,f1eac4baaa36,
2016890,"Турниры / program_summaries #13 (Стандарт, Латина)",15,15,390px,5aee58e2b3ce,
2016890,Более строгие судьи,1,1,430px,ef63720f6e9e,
2016890,Более мягкие судьи,2,2,430px,29d626cdcbbc,
2016890,"Турниры / program_summaries #1 (Стандарт, Латина)",3,3,430px,8fe2937cedab,
